Final Adaptive DMA benchmark
Waiting for CPU1 load generator...
CPU1 load generator ready
CONFIG,repeats=3,phases=4,samples_per_phase=25,dma_bytes=8388608
SAMPLE_HEADER,repeat,mode,phase,load,sample,cpu_ticks,cpu_cycles,level_before,level_after,dma_command
MODE_BEGIN,CPU_ONLY
SAMPLE,1,CPU_ONLY,OFF_A,0,8,778948,95.08,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,9,778718,95.05,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,10,778660,95.05,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,11,778608,95.04,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,12,778375,95.01,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,13,778268,95.00,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,14,778582,95.04,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,15,778811,95.06,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,16,779050,95.09,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,17,778911,95.08,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,18,778996,95.09,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,19,778842,95.07,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,20,779038,95.09,255,255,0

SAMPLE,1,CPU_ONLY,OFF_A,0,21,778818,95.07,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,22,778351,95.01,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,23,778593,95.04,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,24,779110,95.10,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,0,797987,97.41,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,1,800185,97.67,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,2,797964,97.40,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,3,798428,97.46,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,4,800770,97.75,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,5,798812,97.51,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,6,796122,97.18,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,7,800654,97.73,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,8,800794,97.75,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,9,796095,97.17,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,10,798932,97.52,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,11,800436,97.70,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,12,800353,97.69,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,13,800511,97.71,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,14,798713,97.49,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,15,796336,97.20,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,16,797742,97.38,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,17,800105,97.66,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,18,800157,97.67,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,19,800381,97.70,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,20,798832,97.51,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,21,796950,97.28,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,22,797255,97.32,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,23,799326,97.57,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,24,800083,97.66,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,0,778606,95.04,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,1,778108,94.98,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,2,778690,95.05,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,3,778993,95.09,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,4,778888,95.07,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,5,778181,94.99,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,6,778632,95.04,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,7,778816,95.07,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,8,778497,95.03,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,9,778578,95.04,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,10,779079,95.10,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,11,778941,95.08,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,12,778848,95.07,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,13,778850,95.07,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,14,778663,95.05,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,15,779032,95.09,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,16,778178,94.99,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,17,778232,94.99,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,18,778626,95.04,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,19,778097,94.98,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,20,778409,95.02,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,21,778718,95.05,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,22,778715,95.05,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,23,778441,95.02,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,24,779070,95.10,255,255,0
