AdaptiveDMA parameter sweep
configs=25,runs=100,dma_bytes=8388608,latency_limit_percent=50
SAMPLE_HEADER,name,run,base_cpu,load_cpu,dma_cycles,r_wait,w_wait,r_windows,w_windows,stall_ar,stall_r,stall_aw,stall_w,stall_b,overlap,checks_ok
SUMMARY_HEADER,name,burst,rd_out,wr_out,rbr_ctrl,threshold,nominal,r_delta_q8,w_delta_q8,base_mean,cpu_mean,p95,p99,target,slowdown_percent,violations,violation_percent,dma_cycles,dma_MiB_per_s,r_wait,w_wait,r_windows,w_windows,stall_ar,stall_r,stall_aw,stall_w,stall_b,errors
SAMPLE,RAW_B1_O2,25,106.32,110.90,17196968,0,0,0,0,524101,0,523384,0,0,1,1
SAMPLE,RAW_B1_O2,26,106.32,110.87,17199680,0,0,0,0,524130,0,523494,0,0,1,1
SAMPLE,RAW_B1_O2,27,106.38,110.52,17202508,0,0,0,0,524121,0,523649,0,0,1,1
SAMPLE,RAW_B1_O2,28,106.31,110.46,17203616,0,0,0,0,524138,0,523693,0,0,1,1
SAMPLE,RAW_B1_O2,29,106.35,110.76,17201903,0,0,0,0,524156,0,523629,0,0,1,1
SAMPLE,RAW_B1_O2,30,106.37,110.52,17200605,0,0,0,0,524102,0,523582,0,0,1,1
SAMPLE,RAW_B1_O2,31,106.39,110.45,17200146,0,0,0,0,524064,0,523711,0,0,1,1
SAMPLE,RAW_B1_O2,32,106.39,110.78,17198531,0,0,0,0,524107,0,523468,0,0,1,1
SAMPLE,RAW_B1_O2,33,106.41,110.32,17204550,0,0,0,0,524174,0,523843,0,0,1,1
SAMPLE,RAW_B1_O2,34,106.46,110.45,17203331,0,0,0,0,524124,0,523697,0,0,1,1
SAMPLE,RAW_B1_O2,35,106.33,110.37,17205659,0,0,0,0,524165,0,523890,0,0,1,1
SAMPLE,RAW_B1_O2,36,106.42,110.51,17203226,0,0,0,0,524120,0,523705,0,0,1,1
SAMPLE,RAW_B1_O2,37,106.38,110.54,17203008,0,0,0,0,524144,0,523790,0,0,1,1
SAMPLE,RAW_B1_O2,38,106.39,110.34,17205532,0,0,0,0,524137,0,523867,0,0,1,1
SAMPLE,RAW_B1_O2,39,106.44,110.63,17202157,0,0,0,0,524123,0,523616,0,0,1,1
SAMPLE,RAW_B1_O2,40,106.28,110.47,17202950,0,0,0,0,524103,0,523695,0,0,1,1
