Final Adaptive DMA benchmark
Waiting for CPU1 load generator...
CPU1 load generator ready
CONFIG,repeats=3,phases=4,samples_per_phase=25,dma_bytes=8388608
SAMPLE_HEADER,repeat,mode,phase,load,sample,cpu_ticks,cpu_cycles,level_before,level_after,dma_command
MODE_BEGIN,CPU_ONLY
SAMPLE,0,CPU_ONLY,ON_B,1,24,846679,103.35,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,0,824618,100.66,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,1,824575,100.65,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,2,824470,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,3,824415,100.63,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,4,824373,100.63,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,5,824523,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,6,824453,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,7,824390,100.63,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,8,824423,100.63,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,9,824479,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,10,824465,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,11,824488,100.64,255,255,0

SAMPLE,1,CPU_ONLY,OFF_A,0,12,824389,100.63,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,13,824456,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,14,824376,100.63,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,15,824410,100.63,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,16,824322,100.62,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,17,824509,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,18,824295,100.62,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,19,824487,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,20,824430,100.63,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,21,824566,100.65,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,22,824350,100.62,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,23,824459,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_A,0,24,824470,100.64,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,0,843937,103.01,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,1,846439,103.32,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,2,846005,103.27,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,3,845737,103.23,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,4,846659,103.35,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,5,845253,103.18,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,6,845278,103.18,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,7,844743,103.11,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,8,846444,103.32,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,9,845762,103.24,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,10,845876,103.25,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,11,846041,103.27,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,12,845717,103.23,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,13,845660,103.22,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,14,845859,103.25,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,15,844835,103.12,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,16,843576,102.97,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,17,842684,102.86,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,18,843966,103.02,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,19,845386,103.19,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,20,846308,103.30,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,21,845669,103.23,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,22,845440,103.20,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,23,846064,103.27,255,255,0
SAMPLE,1,CPU_ONLY,ON_A,1,24,845608,103.22,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,0,824530,100.65,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,1,824516,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,2,824463,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,3,824519,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,4,824387,100.63,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,5,824458,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,6,824454,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,7,824442,100.63,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,8,824462,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,9,824471,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,10,824456,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,11,824472,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,12,824438,100.63,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,13,824503,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,14,824548,100.65,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,15,824499,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,16,824548,100.65,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,17,824485,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,18,824403,100.63,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,19,824459,100.64,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,20,824421,100.63,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,21,824552,100.65,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,22,824405,100.63,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,23,824433,100.63,255,255,0
SAMPLE,1,CPU_ONLY,OFF_B,0,24,824358,100.62,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,0,844583,103.09,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,1,845545,103.21,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,2,845833,103.25,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,3,845614,103.22,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,4,846422,103.32,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,5,846440,103.32,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,6,845129,103.16,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,7,845935,103.26,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,8,845514,103.21,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,9,845807,103.24,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,10,846326,103.31,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,11,845927,103.26,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,12,846654,103.35,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,13,846313,103.30,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,14,846065,103.27,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,15,844689,103.11,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,16,843567,102.97,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,17,842857,102.88,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,18,844615,103.10,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,19,846151,103.28,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,20,846080,103.28,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,21,846073,103.28,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,22,846026,103.27,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,23,845513,103.21,255,255,0
SAMPLE,1,CPU_ONLY,ON_B,1,24,845529,103.21,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,0,824332,100.62,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,1,824357,100.62,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,2,824439,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,3,824524,100.64,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,4,824559,100.65,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,5,824363,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,6,824438,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,7,824468,100.64,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,8,824343,100.62,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,9,824467,100.64,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,10,824539,100.65,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,11,824346,100.62,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,12,824448,100.64,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,13,824435,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,14,824500,100.64,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,15,824441,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,16,824566,100.65,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,17,824407,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,18,824431,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,19,824356,100.62,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,20,824461,100.64,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,21,824326,100.62,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,22,824477,100.64,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,23,824388,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_A,0,24,824388,100.63,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,0,844522,103.09,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,1,845454,103.20,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,2,845875,103.25,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,3,845900,103.25,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,4,845544,103.21,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,5,845715,103.23,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,6,846129,103.28,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,7,845678,103.23,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,8,845959,103.26,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,9,845904,103.25,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,10,846060,103.27,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,11,845198,103.17,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,12,845527,103.21,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,13,845152,103.16,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,14,845994,103.27,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,15,844965,103.14,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,16,842820,102.88,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,17,842406,102.83,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,18,844301,103.06,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,19,845044,103.15,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,20,846550,103.33,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,21,846418,103.32,255,255,0

SAMPLE,2,CPU_ONLY,ON_A,1,22,845131,103.16,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,23,845062,103.15,255,255,0
SAMPLE,2,CPU_ONLY,ON_A,1,24,846424,103.32,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,0,824530,100.65,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,1,824408,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,2,824465,100.64,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,3,824506,100.64,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,4,824539,100.65,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,5,824366,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,6,824438,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,7,824456,100.64,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,8,824345,100.62,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,9,824482,100.64,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,10,824403,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,11,824355,100.62,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,12,824430,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,13,824321,100.62,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,14,824440,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,15,824397,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,16,824471,100.64,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,17,824442,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,18,824513,100.64,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,19,824338,100.62,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,20,824444,100.64,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,21,824568,100.65,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,22,824432,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,23,824377,100.63,255,255,0
SAMPLE,2,CPU_ONLY,OFF_B,0,24,824475,100.64,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,0,844221,103.05,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,1,846208,103.29,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,2,844811,103.12,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,3,845145,103.16,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,4,845643,103.22,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,5,846907,103.38,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,6,846022,103.27,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,7,845544,103.21,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,8,845382,103.19,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,9,845921,103.26,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,10,845403,103.19,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,11,846294,103.30,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,12,846682,103.35,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,13,846954,103.38,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,14,845473,103.20,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,15,844417,103.07,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,16,842675,102.86,255,255,0

SAMPLE,2,CPU_ONLY,ON_B,1,17,842607,102.85,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,18,844460,103.08,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,19,846279,103.30,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,20,845378,103.19,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,21,846354,103.31,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,22,846218,103.29,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,23,845479,103.20,255,255,0
SAMPLE,2,CPU_ONLY,ON_B,1,24,846462,103.32,255,255,0
MODE_END,CPU_ONLY
LIMITS,baseline_off=100.63,baseline_on=103.19,low=130.81,high=150.94
MODE_BEGIN,FIXED_MAX
SAMPLE,0,FIXED_MAX,OFF_A,0,0,1793623,218.94,255,255,0
SAMPLE,0,FIXED_MAX,OFF_A,0,1,1788708,218.34,255,255,0
SAMPLE,0,FIXED_MAX,OFF_A,0,2,1794537,219.05,255,255,1
SAMPLE,0,FIXED_MAX,OFF_A,0,3,1785793,217.99,255,255,2
SAMPLE,0,FIXED_MAX,OFF_A,0,4,1784260,217.80,255,255,2
SAMPLE,0,FIXED_MAX,OFF_A,0,5,1790336,218.54,255,255,3
SAMPLE,0,FIXED_MAX,OFF_A,0,6,1782416,217.58,255,255,3
SAMPLE,0,FIXED_MAX,OFF_A,0,7,1785214,217.92,255,255,4
SAMPLE,0,FIXED_MAX,OFF_A,0,8,1790329,218.54,255,255,4
SAMPLE,0,FIXED_MAX,OFF_A,0,9,1791422,218.67,255,255,5
SAMPLE,0,FIXED_MAX,OFF_A,0,10,1785350,217.93,255,255,6
SAMPLE,0,FIXED_MAX,OFF_A,0,11,1792761,218.84,255,255,6
SAMPLE,0,FIXED_MAX,OFF_A,0,12,1784461,217.82,255,255,7
SAMPLE,0,FIXED_MAX,OFF_A,0,13,1796704,219.32,255,255,7
SAMPLE,0,FIXED_MAX,OFF_A,0,14,1798459,219.53,255,255,8
SAMPLE,0,FIXED_MAX,OFF_A,0,15,1786190,218.04,255,255,9
SAMPLE,0,FIXED_MAX,OFF_A,0,16,1784068,217.78,255,255,9
SAMPLE,0,FIXED_MAX,OFF_A,0,17,1792593,218.82,255,255,10
SAMPLE,0,FIXED_MAX,OFF_A,0,18,1788836,218.36,255,255,10
SAMPLE,0,FIXED_MAX,OFF_A,0,19,1789158,218.40,255,255,11
SAMPLE,0,FIXED_MAX,OFF_A,0,20,1784920,217.88,255,255,11
SAMPLE,0,FIXED_MAX,OFF_A,0,21,1787601,218.21,255,255,12
SAMPLE,0,FIXED_MAX,OFF_A,0,22,1794592,219.06,255,255,12
SAMPLE,0,FIXED_MAX,OFF_A,0,23,1787836,218.24,255,255,13
SAMPLE,0,FIXED_MAX,OFF_A,0,24,1791878,218.73,255,255,13
SAMPLE,0,FIXED_MAX,ON_A,1,0,1973920,240.95,255,255,14
SAMPLE,0,FIXED_MAX,ON_A,1,1,1972118,240.73,255,255,15
SAMPLE,0,FIXED_MAX,ON_A,1,2,1980077,241.70,255,255,16
SAMPLE,0,FIXED_MAX,ON_A,1,3,1978431,241.50,255,255,17
SAMPLE,0,FIXED_MAX,ON_A,1,4,1977586,241.40,255,255,18
SAMPLE,0,FIXED_MAX,ON_A,1,5,1973903,240.95,255,255,19
